"filename", "language", "SCSS", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\package-lock.json", "JSON", 0, 0, 0, 17434, 0, 0, 1, 17435
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\package.json", "JSON", 0, 0, 0, 54, 0, 0, 1, 55
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\public\index.html", "HTML", 0, 0, 0, 0, 21, 23, 1, 45
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\App.js", "JavaScript", 0, 93, 0, 0, 0, 7, 5, 105
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\App.scss", "SCSS", 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Explore\Explore.js", "JavaScript", 0, 24, 0, 0, 0, 3, 3, 30
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Explore\Explore.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Feed\Feed.js", "JavaScript", 0, 21, 0, 0, 0, 3, 4, 28
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Feed\Feed.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Header\Header.js", "JavaScript", 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Header\Header.scss", "SCSS", 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Header\HeaderAvatar\HeaderAvatar.js", "JavaScript", 0, 26, 0, 0, 0, 1, 5, 32
